"FORECAST_DATE","RUN_DATE","STARTING_POINT_ID","SP_NAME","SUBMARKET_ID","SM_NAME","DAYPART","LOCAL_START_TIME","LOCAL_END_TIME","LOCAL_START_HOUR","LOCAL_END_HOUR","WEATHER_OPT_FINAL","ADD_WEATHER_PAY","RAIN_SNOW_TAG","RUN_TAG"
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",6,"CA: Santa Monica",1,"Los Angeles","early_morning","2026-05-03 00:00:00.000","2026-05-03 04:59:00.000",0,4,100.0,"yes",1,0
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",10,"CA: Westwood",1,"Los Angeles","breakfast","2026-05-03 05:00:00.000","2026-05-03 10:59:00.000",5,10,100.0,"yes",1,0
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",10,"CA: Westwood",1,"Los Angeles","early_morning","2026-05-03 00:00:00.000","2026-05-03 04:59:00.000",0,4,100.0,"yes",1,0
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",11821,"CA: Yreka",6541,"Yreka, CA","latenight","2026-05-03 21:00:00.000","2026-05-03 23:59:00.000",21,23,100.0,"yes",1,1
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",11821,"CA: Yreka",6541,"Yreka, CA","snack","2026-05-03 14:00:00.000","2026-05-03 16:59:00.000",14,16,100.0,"yes",1,0
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",11822,"CA: Mammoth Lakes",6542,"Mammoth Lakes, CA","dinner","2026-05-03 17:00:00.000","2026-05-03 20:59:00.000",17,20,100.0,"yes",1,1
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",13257,"Weed, CA",7528,"Weed, CA","dinner","2026-05-03 17:00:00.000","2026-05-03 20:59:00.000",17,20,100.0,"yes",1,1
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",13257,"Weed, CA",7528,"Weed, CA","latenight","2026-05-03 21:00:00.000","2026-05-03 23:59:00.000",21,23,150.0,"yes",1,1
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",13257,"Weed, CA",7528,"Weed, CA","snack","2026-05-03 14:00:00.000","2026-05-03 16:59:00.000",14,16,100.0,"yes",1,0
"2026-05-03 00:00:00.000","2026-04-27 19:00:00.000",13826,"Mount Shasta, CA",7754,"Mount Shasta, CA","dinner","2026-05-03 17:00:00.000","2026-05-03 20:59:00.000",17,20,100.0,"yes",1,1
"2026-05-02 00:00:00.000","2026-04-27 19:00:00.000",5063,"CA: Newport Beach",3,"Orange County","early_morning","2026-05-02 00:00:00.000","2026-05-02 04:59:00.000",0,4,100.0,"yes",1,0
"2026-05-02 00:00:00.000","2026-04-27 19:00:00.000",453,"CA: San Francisco",6,"San Francisco","breakfast","2026-05-02 05:00:00.000","2026-05-02 10:59:00.000",5,10,100.0,"yes",1,0
"2026-05-02 00:00:00.000","2026-04-27 19:00:00.000",453,"CA: San Francisco",6,"San Francisco","early_morning","2026-05-02 00:00:00.000","2026-05-02 04:59:00.000",0,4,100.0,"yes",1,0
"2026-05-02 00:00:00.000","2026-04-27 19:00:00.000",14853,"Angwin, CA",8075,"Angwin, CA","breakfast","2026-05-02 05:00:00.000","2026-05-02 10:59:00.000",5,10,100.0,"yes",1,0
"2026-05-01 00:00:00.000","2026-04-27 19:00:00.000",79,"CA: Downtown LA",1,"Los Angeles","breakfast","2026-05-01 05:00:00.000","2026-05-01 10:59:00.000",5,10,100.0,"yes",1,0
"2026-04-30 00:00:00.000","2026-04-27 19:00:00.000",257,"CA: Mira Mesa/Sorrento Valley",16,"San Diego","early_morning","2026-04-30 00:00:00.000","2026-04-30 04:59:00.000",0,4,100.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",96,"CA: Daly City",2,"Peninsula","early_morning","2026-04-27 00:00:00.000","2026-04-27 04:59:00.000",0,4,100.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",4520,"CA: Los Banos",1586,"Los Banos, CA","early_morning","2026-04-27 00:00:00.000","2026-04-27 04:59:00.000",0,4,100.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",4895,"CA: Patterson",1833,"Patterson, CA","early_morning","2026-04-27 00:00:00.000","2026-04-27 04:59:00.000",0,4,100.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",4980,"CA: Sonora",1916,"Sonora, CA","early_morning","2026-04-27 00:00:00.000","2026-04-27 04:59:00.000",0,4,100.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",5252,"CA: Truckee",2121,"Truckee, CA","dinner","2026-04-27 17:00:00.000","2026-04-27 20:59:00.000",17,20,100.0,"yes",1,1
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",5252,"CA: Truckee",2121,"Truckee, CA","snack","2026-04-27 14:00:00.000","2026-04-27 16:59:00.000",14,16,100.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",10329,"CA: Crescent City",5133,"Crescent City, CA","early_morning","2026-04-27 00:00:00.000","2026-04-27 04:59:00.000",0,4,150.0,"yes",1,0
"2026-04-27 00:00:00.000","2026-04-27 19:00:00.000",13257,"Weed, CA",7528,"Weed, CA","dinner","2026-04-27 17:00:00.000","2026-04-27 20:59:00.000",17,20,100.0,"yes",1,1
